Replace Part * CC1352R1F3RGZ_1 in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with CC1352R1F3RGZ_1 from Schlib3.SchLib
Replace Part 3t Temp in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Temp from Schlib3.SchLib
Replace Part C11 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C12 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C13 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C14 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C15 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C21 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C31 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C32 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C33 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C34 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C35 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C36 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C41 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C81 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C91 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C131 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C221 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C231 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C331 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C341 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C342 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C351 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C420 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C441 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C481 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C483 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C484 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C485 Cap in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part CONREVSMA001-SMD COAX-M in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with COAX-M from Miscellaneous Connectors.IntLib
Replace Part FL1 Inductor in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L12 Inductor in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L13 Inductor in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L14 Inductor in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L21 Inductor in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L31 Inductor in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L32 Inductor in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L33 Inductor in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L34 Inductor in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L41 Inductor in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L331 Inductor in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part Osc Osc in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Osc from Schlib3.SchLib
Replace Part P1 Header 3 in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Header 3 from Miscellaneous Connectors.IntLib
Replace Part R351 Res3 in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with Res3 from Miscellaneous Devices.IntLib
Replace Part RF Switch PE4250 in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with PE4250 from Schlib3.SchLib
Replace Part Y1 XTAL in Z:\HeinzBoehmer\Documents\2018-2019\First Semester\ECEN 4610\PoC\Altium\Sheet1.SchDoc with XTAL from Miscellaneous Devices.IntLib
